Location,Medium,Sample Date,Procedure Name,Nuclides/ Radiation,Result,Combined Standard Uncertainty,MDC,Unit
ALBUQUERQUE,AIR-FILTER,2012-01-19,Gross beta in air,Gross Beta,0.0062,0.0004,0.00018,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-11-8,Gross beta in air,Gross Beta,0.01376,0.00085,0.00024,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-06-21,Gross beta in air,Gross Beta,0.0085,0.00054,0.00023,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-01-25,Gross beta in air,Gross Beta,0.0047,0.00033,0.0003,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-04-19,Gross beta in air,Gross Beta,0.00707,0.00046,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-07-11,Gross beta in air,Gross Beta,0.00637,0.00041,0.00018,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-10-12,Gross beta in air,Gross Beta,0.01365,0.00084,0.0002,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-01-11,Gross beta in air,Gross Beta,0.01286,0.00079,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-04-26,Gross beta in air,Gross Beta,0.0074,0.00048,0.00022,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-08-31,Gross beta in air,Gross Beta,0.00868,0.00055,0.0002,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-11-2,Gross beta in air,Gross Beta,0.01036,0.00065,0.0002,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-01-4,Gross beta in air,Gross Beta,0.01301,0.0008,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-05-11,Gross beta in air,Gross Beta,0.00836,0.00053,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-12-7,Gross beta in air,Gross Beta,0.01155,0.00073,0.00026,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-02-16,Gross beta in air,Gross Beta,0.00923,0.00058,0.0002,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-08-9,Gross beta in air,Gross Beta,0.00735,0.00048,0.00024,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-09-21,Gross beta in air,Gross Beta,0.01214,0.00075,0.0002,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-10-26,Gross beta in air,Gross Beta,0.00748,0.00048,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-07-19,Gross beta in air,Gross Beta,0.0075,0.00048,0.00018,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-12-23,Gross beta in air,Gross Beta,0.00705,0.00045,0.00019,PCI/M3
